-e Time,			us,	sy,	ni,	id,	wa
-e 14-12-17 08:43:03,	 0.0%,	 0.2%,	 0.0%,	 99.8%,	 0.0%
-e 14-12-17 08:43:06,	 0.0%,	 0.2%,	 0.0%,	 99.8%,	 0.0%
-e 14-12-17 08:43:10,	 0.0%,	 0.2%,	 0.0%,	 99.8%,	 0.0%
-e 14-12-17 08:43:13,	 0.0%,	 0.2%,	 0.0%,	 99.8%,	 0.0%
-e 14-12-17 08:43:17,	 0.1%,	 0.2%,	 0.0%,	 99.8%,	 0.0%
-e 14-12-17 08:43:20,	 0.1%,	 0.2%,	 0.0%,	 99.8%,	 0.0%
-e 14-12-17 08:43:24,	 0.0%,	 0.2%,	 0.0%,	 99.8%,	 0.0%
-e 14-12-17 08:43:28,	 0.0%,	 0.2%,	 0.0%,	 99.8%,	 0.0%
-e 14-12-17 08:43:31,	 0.0%,	 0.2%,	 0.0%,	 99.8%,	 0.0%
-e 14-12-17 08:43:35,	 0.1%,	 0.1%,	 0.0%,	 99.8%,	 0.0%
-e 14-12-17 08:43:38,	 0.1%,	 0.2%,	 0.0%,	 99.8%,	 0.0%
-e 14-12-17 08:43:42,	 0.0%,	 0.2%,	 0.0%,	 99.8%,	 0.0%
-e 14-12-17 08:43:45,	 0.0%,	 0.2%,	 0.0%,	 99.8%,	 0.0%
-e 14-12-17 08:43:49,	 0.1%,	 0.2%,	 0.0%,	 99.8%,	 0.0%
-e 14-12-17 08:43:52,	 0.1%,	 0.2%,	 0.0%,	 99.8%,	 0.0%
-e 14-12-17 08:43:56,	 0.1%,	 0.1%,	 0.0%,	 99.8%,	 0.0%
-e 14-12-17 08:43:59,	 0.0%,	 0.2%,	 0.0%,	 99.8%,	 0.0%
-e 14-12-17 08:44:03,	 0.1%,	 0.1%,	 0.0%,	 99.8%,	 0.0%
-e 14-12-17 08:44:07,	 0.1%,	 0.2%,	 0.0%,	 99.8%,	 0.0%
-e 14-12-17 08:44:10,	 0.0%,	 0.2%,	 0.0%,	 99.8%,	 0.0%
-e 14-12-17 08:44:14,	 0.1%,	 0.2%,	 0.0%,	 99.8%,	 0.0%
-e 14-12-17 08:44:17,	 0.0%,	 0.2%,	 0.0%,	 99.8%,	 0.0%
-e 14-12-17 08:44:21,	 0.0%,	 0.2%,	 0.0%,	 99.8%,	 0.0%
-e 14-12-17 08:44:24,	 0.1%,	 0.2%,	 0.0%,	 99.8%,	 0.0%
-e 14-12-17 08:44:28,	 0.0%,	 0.2%,	 0.0%,	 99.8%,	 0.0%
-e 14-12-17 08:44:31,	 0.1%,	 0.1%,	 0.0%,	 99.8%,	 0.0%
-e 14-12-17 08:44:35,	 0.0%,	 0.2%,	 0.0%,	 99.8%,	 0.0%
